23.04.2023 09:29:36.813 [main] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.epam.finalProject.Railwayticketoffice.RailwayTicketOfficeApplication for test class com.example.epam.finalProject.Railwayticketoffice.RailwayTicketOfficeApplicationTests
23.04.2023 09:29:36.856 [main] INFO   c.e.e.f.R.RailwayTicketOfficeApplicationTests - Starting RailwayTicketOfficeApplicationTests using Java 17.0.3.1 with PID 10196 (started by Полина in C:\Users\Полина\Documents\GitHub\Railway-ticket-office)
23.04.2023 09:29:36.856 [main] INFO   c.e.e.f.R.RailwayTicketOfficeApplicationTests - No active profile set, falling back to 1 default profile: "default"
23.04.2023 09:29:37.085 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.04.2023 09:29:37.101 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 6 JPA repository interfaces.
23.04.2023 09:29:37.224 [main] INFO   o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23.04.2023 09:29:37.229 [main] INFO   c.z.h.HikariDataSource - HikariPool-2 - Starting...
23.04.2023 09:29:37.261 [main] INFO   c.z.h.p.HikariPool - HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@240fe338
23.04.2023 09:29:37.261 [main] INFO   c.z.h.HikariDataSource - HikariPool-2 - Start completed.
23.04.2023 09:29:37.261 [main] INFO   SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
23.04.2023 09:29:37.400 [main] INFO   o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23.04.2023 09:29:37.411 [main] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23.04.2023 09:29:37.571 [main] WARN   o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23.04.2023 09:29:37.681 [main] INFO   o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@bc70176, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@eba64a9, org.springframework.security.web.context.SecurityContextHolderFilter@173039b5, org.springframework.security.web.header.HeaderWriterFilter@62048ab, org.springframework.security.web.authentication.logout.LogoutFilter@25e95d04, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@64a9719a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6005cfe5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37635407, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@53e1cd6b, org.springframework.security.web.access.ExceptionTranslationFilter@6b0796d4, org.springframework.security.web.access.intercept.AuthorizationFilter@46b376bb]
23.04.2023 09:29:37.794 [main] INFO   c.e.e.f.R.RailwayTicketOfficeApplicationTests - Started RailwayTicketOfficeApplicationTests in 0.962 seconds (process running for 14.851)
23.04.2023 09:29:37.837 [SpringApplicationShutdownHook] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.04.2023 09:29:37.837 [SpringApplicationShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.04.2023 09:29:37.859 [SpringApplicationShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
23.04.2023 09:29:37.859 [SpringApplicationShutdownHook] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.04.2023 09:29:37.859 [SpringApplicationShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-2 - Shutdown initiated...
23.04.2023 09:29:37.870 [SpringApplicationShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-2 - Shutdown completed.
23.04.2023 09:31:07.119 [main] INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.epam.finalProject.Railwayticketoffice.services.StopServiceIntegrationTest]: StopServiceIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
